######################################## User Management System log All Trace #########################################
2020/10/12 09:20:37.540 [TRACE] [UMS.Program]  Program.cs:27 | Starting Program.
2020/10/12 09:20:44.118 [INFO] [Microsoft.Hosting.Lifetime]   | Now listening on: https://localhost:44346
2020/10/12 09:20:45.358 [INFO] [Microsoft.Hosting.Lifetime]   | Application started. Press Ctrl+C to shut down.
2020/10/12 09:20:45.446 [INFO] [Microsoft.Hosting.Lifetime]   | Hosting environment: Development
2020/10/12 09:20:45.509 [INFO] [Microsoft.Hosting.Lifetime]   | Content root path: C:\Users\Namchok\Desktop\สหกิจ\ums\UMS
2020/10/12 09:20:46.904 [TRACE] [UMS.Data.AuthDbContext]  Index:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:20:49.338 [TRACE] [UMS.Controllers.HomeController] [usermanagement2020@gmail.com] Index:HomeController.cs:32 | Start home controller.
2020/10/12 09:20:49.384 [TRACE] [UMS.Controllers.HomeController] [usermanagement2020@gmail.com] Index:HomeController.cs:50 | Start home index.
2020/10/12 09:20:49.384 [INFO] [UMS.Controllers.HomeController] [usermanagement2020@gmail.com] Index:HomeController.cs:51 | Welcome usermanagement2020@gmail.com to UMS.
2020/10/12 09:20:49.398 [TRACE] [UMS.Controllers.HomeController] [usermanagement2020@gmail.com] Index:HomeController.cs:52 | Finding user ID.
2020/10/12 09:20:49.398 [TRACE] [UMS.Controllers.HomeController] [usermanagement2020@gmail.com] Index:HomeController.cs:54 | End home index.
2020/10/12 09:21:03.936 [TRACE] [UMS.Data.AuthDbContext]  Index:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:21:03.983 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:31 | Start logs controller.
2020/10/12 09:21:03.991 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:53 | Start logs index.
2020/10/12 09:21:03.991 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:54 | Finding user ID.
2020/10/12 09:21:03.991 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:56 | Getting top 100 from all logs.
2020/10/12 09:21:04.182 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:59 | End logs index.
2020/10/12 09:21:10.929 [TRACE] [UMS.Data.AuthDbContext]  Search:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:21:10.995 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:31 | Start logs controller.
2020/10/12 09:21:11.092 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:81 | Start searching a logs.
2020/10/12 09:21:11.095 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:84 | Input Date Input: 10/12/2020 9:21 AM - 10/12/2020 10:51 AM
2020/10/12 09:21:11.111 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:85 | Input Message: -
2020/10/12 09:21:11.111 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:86 | Getting log by 10/12/2020 9:21 AM - 10/12/2020 10:51 AM.
2020/10/12 09:21:11.111 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:87 | End searching a logs.
2020/10/12 09:21:27.225 [TRACE] [UMS.Data.AuthDbContext]  Search:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:21:27.225 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:31 | Start logs controller.
2020/10/12 09:21:27.241 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:81 | Start searching a logs.
2020/10/12 09:21:27.241 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:84 | Input Date Input: 10/12/2020 9:21 AM - 10/12/2020 10:51 AM
2020/10/12 09:21:27.254 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:85 | Input Message: Welcome 
2020/10/12 09:21:27.280 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:86 | Getting log by 10/12/2020 9:21 AM - 10/12/2020 10:51 AM or Welcome .
2020/10/12 09:21:27.289 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:87 | End searching a logs.
2020/10/12 09:21:58.729 [TRACE] [UMS.Data.AuthDbContext]  Search:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:21:58.743 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:31 | Start logs controller.
2020/10/12 09:21:58.743 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:81 | Start searching a logs.
2020/10/12 09:21:58.752 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:84 | Input Date Input: 10/12/2020 08:00 AM - 10/12/2020 09:30 PM
2020/10/12 09:21:58.752 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:85 | Input Message: Welcome 
2020/10/12 09:21:58.770 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:86 | Getting log by 10/12/2020 08:00 AM - 10/12/2020 09:30 PM or Welcome .
2020/10/12 09:21:58.791 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:87 | End searching a logs.
2020/10/12 09:23:55.812 [TRACE] [UMS.Data.AuthDbContext]  Index:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:23:55.827 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:31 | Start logs controller.
2020/10/12 09:24:05.198 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:53 | Start logs index.
2020/10/12 09:24:05.607 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:54 | Finding user ID.
2020/10/12 09:24:07.039 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:56 | Getting top 100 from all logs.
2020/10/12 09:24:11.660 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Index:LogsController.cs:59 | End logs index.
2020/10/12 09:27:33.730 [TRACE] [UMS.Data.AuthDbContext]  Search:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:27:33.749 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:31 | Start logs controller.
2020/10/12 09:27:33.758 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:81 | Start searching a logs.
2020/10/12 09:27:33.758 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:84 | Input Date Input: -
2020/10/12 09:27:33.775 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:85 | Input Message: Welcome
2020/10/12 09:27:33.787 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:86 | Getting log by  or Welcome.
2020/10/12 09:27:33.787 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:87 | End searching a logs.
2020/10/12 09:27:43.502 [TRACE] [UMS.Data.AuthDbContext]  Search:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:27:43.502 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:31 | Start logs controller.
2020/10/12 09:27:43.532 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:81 | Start searching a logs.
2020/10/12 09:27:43.544 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:84 | Input Date Input: 10/12/2020 9:27 AM - 10/12/2020 10:57 AM
2020/10/12 09:27:43.562 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:85 | Input Message: Welcome
2020/10/12 09:27:43.576 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:86 | Getting log by 10/12/2020 9:27 AM - 10/12/2020 10:57 AM or Welcome.
2020/10/12 09:27:43.594 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:87 | End searching a logs.
2020/10/12 09:32:50.173 [TRACE] [UMS.Data.AuthDbContext]  Search:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:32:50.173 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:31 | Start logs controller.
2020/10/12 09:32:50.196 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:81 | Start searching a logs.
2020/10/12 09:32:50.196 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:84 | Input Date Input: -
2020/10/12 09:32:50.213 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:85 | Input Message: Welcome
2020/10/12 09:32:50.234 [DEBUG] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:86 | Getting log by  or Welcome.
2020/10/12 09:32:50.244 [TRACE] [UMS.Controllers.LogsController] [usermanagement2020@gmail.com] Search:LogsController.cs:87 | End searching a logs.
2020/10/12 09:48:43.597 [TRACE] [UMS.Program]  Program.cs:27 | Starting Program.
2020/10/12 09:48:46.774 [INFO] [Microsoft.Hosting.Lifetime]   | Now listening on: https://localhost:44346
2020/10/12 09:48:47.243 [INFO] [Microsoft.Hosting.Lifetime]   | Application started. Press Ctrl+C to shut down.
2020/10/12 09:48:47.262 [INFO] [Microsoft.Hosting.Lifetime]   | Hosting environment: Development
2020/10/12 09:48:47.282 [INFO] [Microsoft.Hosting.Lifetime]   | Content root path: C:\Users\Namchok\Desktop\สหกิจ\ums\UMS
2020/10/12 09:48:50.255 [TRACE] [UMS.Data.AuthDbContext]  Index:AuthDbContext.cs:28 | Start application context.
2020/10/12 09:48:52.915 [TRACE] [UMS.Controllers.HomeController] [usermanagement2020@gmail.com] Index:HomeController.cs:32 | Start home controller.
